"gas","gas_label","year","emissions"
"CO2","Carbon dioxide (CO2)","1990",605.41818
"CO2","Carbon dioxide (CO2)","1991",612.35672
"CO2","Carbon dioxide (CO2)","1992",595.91688
"CO2","Carbon dioxide (CO2)","1993",581.12918
"CO2","Carbon dioxide (CO2)","1994",575.1024
"CO2","Carbon dioxide (CO2)","1995",567.20379
"CO2","Carbon dioxide (CO2)","1996",586.70662
"CO2","Carbon dioxide (CO2)","1997",561.96601
"CO2","Carbon dioxide (CO2)","1998",566.8485
"CO2","Carbon dioxide (CO2)","1999",560.2603
"CO2","Carbon dioxide (CO2)","2000",567.4484
"CO2","Carbon dioxide (CO2)","2001",576.01989
"CO2","Carbon dioxide (CO2)","2002",557.57028
"CO2","Carbon dioxide (CO2)","2003",568.82201
"CO2","Carbon dioxide (CO2)","2004",569.76164
"CO2","Carbon dioxide (CO2)","2005",566.15692
"CO2","Carbon dioxide (CO2)","2006",563.22492
"CO2","Carbon dioxide (CO2)","2007",554.20039
"CO2","Carbon dioxide (CO2)","2008",539.07512
"CO2","Carbon dioxide (CO2)","2009",488.33508
"CO2","Carbon dioxide (CO2)","2010",506.10563
"CO2","Carbon dioxide (CO2)","2011",463.27794
"CO2","Carbon dioxide (CO2)","2012",481.21133
"CO2","Carbon dioxide (CO2)","2013",471.21715
"CO2","Carbon dioxide (CO2)","2014",432.21837
"CO2","Carbon dioxide (CO2)","2015",416.20518
"CO2","Carbon dioxide (CO2)","2016",393.39944
"CO2","Carbon dioxide (CO2)","2017",381.09885
"CO2","Carbon dioxide (CO2)","2018",374.02409
"CO2","Carbon dioxide (CO2)","2019",359.32468
"CO2","Carbon dioxide (CO2)","2020",321.08766
"CO2","Methane (CH4)","1990",134.06653
"CO2","Methane (CH4)","1991",134.82202
"CO2","Methane (CH4)","1992",134.69351
"CO2","Methane (CH4)","1993",133.25407
"CO2","Methane (CH4)","1994",126.39121
"CO2","Methane (CH4)","1995",128.03469
"CO2","Methane (CH4)","1996",127.27284
"CO2","Methane (CH4)","1997",124.8446
"CO2","Methane (CH4)","1998",121.43355
"CO2","Methane (CH4)","1999",115.90998
"CO2","Methane (CH4)","2000",110.67064
"CO2","Methane (CH4)","2001",105.9176
"CO2","Methane (CH4)","2002",103.51739
"CO2","Methane (CH4)","2003",98.63798
"CO2","Methane (CH4)","2004",94.11983
"CO2","Methane (CH4)","2005",89.70114
"CO2","Methane (CH4)","2006",85.43067
"CO2","Methane (CH4)","2007",81.61782
"CO2","Methane (CH4)","2008",75.82576
"CO2","Methane (CH4)","2009",71.48369
"CO2","Methane (CH4)","2010",66.81144
"CO2","Methane (CH4)","2011",64.16817
"CO2","Methane (CH4)","2012",62.55805
"CO2","Methane (CH4)","2013",58.39834
"CO2","Methane (CH4)","2014",56.41544
"CO2","Methane (CH4)","2015",55.4487
"CO2","Methane (CH4)","2016",53.68872
"CO2","Methane (CH4)","2017",54.08473
"CO2","Methane (CH4)","2018",53.61661
"CO2","Methane (CH4)","2019",53.35512
"CO2","Methane (CH4)","2020",51.2622
"CO2","Nitrous oxide (N2O)","1990",49.52356
"CO2","Nitrous oxide (N2O)","1991",49.74343
"CO2","Nitrous oxide (N2O)","1992",44.79165
"CO2","Nitrous oxide (N2O)","1993",40.53211
"CO2","Nitrous oxide (N2O)","1994",41.15339
"CO2","Nitrous oxide (N2O)","1995",39.79948
"CO2","Nitrous oxide (N2O)","1996",39.85208
"CO2","Nitrous oxide (N2O)","1997",40.19782
"CO2","Nitrous oxide (N2O)","1998",40.18679
"CO2","Nitrous oxide (N2O)","1999",30.62897
"CO2","Nitrous oxide (N2O)","2000",29.97986
"CO2","Nitrous oxide (N2O)","2001",28.53945
"CO2","Nitrous oxide (N2O)","2002",26.81163
"CO2","Nitrous oxide (N2O)","2003",26.35258
"CO2","Nitrous oxide (N2O)","2004",26.90933
"CO2","Nitrous oxide (N2O)","2005",25.99576
"CO2","Nitrous oxide (N2O)","2006",24.82192
"CO2","Nitrous oxide (N2O)","2007",24.84474
"CO2","Nitrous oxide (N2O)","2008",24.00397
"CO2","Nitrous oxide (N2O)","2009",22.52017
